crc,take_type,allo_block,wap,max_rate_wap,in_sw_allo,sd1_150,sd1_30,sd1_7,rate_ratio
CRC000624.1,Take Groundwater,A,M35/8584,20.0,True,0.0,0.0,0.0,1.0
CRC000744.1,Take Groundwater,A,L35/0665,140.0,True,100.0,100.0,100.0,1.0
CRC000754.1,Take Surface Water,A,M35/11165,72.0,True,100.0,100.0,100.0,0.5
CRC000754.1,Take Surface Water,A,M35/11166,72.0,True,100.0,100.0,100.0,0.5
CRC001890.1,Take Groundwater,A,L35/0188,54.0,True,92.0,82.0,64.0,1.0
CRC010795,Take Groundwater,A,M35/0956,10.7,True,18.0,0.0,0.0,1.0
CRC011389,Take Groundwater,A,L35/0681,6.8,True,0.0,0.0,0.0,1.0
CRC011795,Take Groundwater,A,M35/6719,1.5,True,90.0,78.0,57.0,1.0
CRC011877,Take Groundwater,A,M35/1748,6.5,True,90.0,77.0,54.0,0.5
CRC011877,Take Groundwater,A,M35/5353,6.5,False,94.0,86.0,71.0,0.5
CRC011891.2,Take Groundwater,A,M35/9004,20.0,True,93.0,85.0,70.0,1.0
CRC012006,Take Surface Water,A,M35/11216,1331.0,True,100.0,100.0,100.0,1.0
CRC012006,Take Surface Water,AA,M35/11216,1231.0,True,100.0,100.0,100.0,1.0
CRC012006,Take Surface Water,B,M35/11216,2500.0,True,100.0,100.0,100.0,1.0
CRC012237.4,Take Surface Water,A,L35/0919,280.0,True,100.0,100.0,100.0,1.0
CRC012361.1,Take Groundwater,A,L35/0709,12.5,True,0.0,0.0,0.0,0.5
CRC012361.1,Take Groundwater,A,L35/0753,12.5,True,0.0,0.0,0.0,0.5
CRC020199.1,Take Surface Water,A,L35/0916,150.0,True,100.0,100.0,100.0,0.5
CRC020199.1,Take Surface Water,A,L35/0917,150.0,True,100.0,100.0,100.0,0.5
CRC020551.1,Take Groundwater,A,M35/8651,19.0,True,97.0,94.0,87.0,1.0
CRC020696.2,Take Groundwater,A,L35/0704,35.0,True,0.0,0.0,0.0,1.0
CRC021291.3,Take Groundwater,A,L35/0732,35.0,True,0.0,0.0,0.0,1.0
CRC030112.1,Take Groundwater,A,L35/0769,30.3,True,0.0,0.0,0.0,1.0
CRC030246.2,Take Surface Water,A,L35/0930,50.0,True,100.0,100.0,100.0,0.5
CRC030246.2,Take Surface Water,A,L35/0931,50.0,True,100.0,100.0,100.0,0.5
CRC030249.1,Take Groundwater,A,L35/0716,25.0,True,0.0,0.0,0.0,1.0
CRC030501.1,Take Groundwater,A,M35/9421,20.0,False,39.0,5.0,0.0,1.0
CRC032149,Take Groundwater,A,M35/1653,70.0,True,81.0,60.0,27.0,1.0
CRC040267.1,Take Groundwater,A,M35/9769,10.0,True,21.0,1.0,0.0,1.0
CRC040372,Take Groundwater,A,M35/9785,23.0,True,84.0,65.0,34.0,1.0
CRC040840.1,Take Groundwater,A,M35/9291,6.9,True,90.0,79.0,58.0,1.0
CRC041190,Take Groundwater,A,M35/9786,23.0,True,84.0,66.0,36.0,1.0
CRC041358.3,Take Groundwater,A,L35/0794,70.0,True,0.0,0.0,0.0,0.3333333333333333
CRC041358.3,Take Groundwater,A,L35/0844,70.0,True,0.0,0.0,0.0,0.3333333333333333
CRC041358.3,Take Groundwater,A,L35/0864,70.0,True,0.0,0.0,0.0,0.3333333333333333
CRC042826,Take Groundwater,A,L35/0279,30.0,True,100.0,100.0,100.0,1.0
CRC050353,Take Groundwater,A,M35/10368,10.0,True,85.0,66.0,37.0,1.0
CRC051543.2,Take Groundwater,A,L35/0852,75.0,True,0.0,0.0,0.0,0.3333333333333333
CRC051543.2,Take Groundwater,A,L35/0853,75.0,True,54.0,17.0,0.0,0.3333333333333333
CRC051543.2,Take Groundwater,A,L35/0854,75.0,True,34.0,3.0,0.0,0.3333333333333333
CRC051657,Take Groundwater,A,M35/8730,5.0,True,72.0,41.0,9.0,1.0
CRC052097.3,Take Groundwater,A,M35/9925,100.0,True,0.0,0.0,0.0,1.0
CRC052598,Take Groundwater,A,L35/0698,40.0,False,0.0,0.0,0.0,0.5
CRC052598,Take Groundwater,A,L35/0744,40.0,True,0.0,0.0,0.0,0.5
CRC052599,Take Groundwater,A,L35/0565,23.0,True,0.0,0.0,0.0,0.5
CRC052599,Take Groundwater,A,L35/0697,23.0,True,0.0,0.0,0.0,0.5
CRC060388.3,Take Groundwater,A,L35/0875,15.0,True,0.0,0.0,0.0,0.375
CRC060388.3,Take Groundwater,A,L35/1074,25.0,True,0.0,0.0,0.0,0.625
CRC061311,Take Surface Water,A,L35/0912,60.0,True,100.0,100.0,100.0,1.0
CRC061323.1,Take Groundwater,A,L35/0701,70.0,True,0.0,0.0,0.0,1.0
CRC063540.1,Take Groundwater,A,L35/0850,55.0,True,0.0,0.0,0.0,1.0
CRC070965.2,Take Groundwater,A,M35/11085,86.0,True,0.0,0.0,0.0,1.0
CRC073675,Take Groundwater,A,M35/2804,0.75,True,18.0,0.0,0.0,1.0
CRC081610,Take Groundwater,A,M35/11181,29.0,True,30.0,2.0,0.0,1.0
CRC082977.1,Take Groundwater,A,M35/9344,40.0,True,72.0,43.0,10.0,1.0
CRC083249,Take Groundwater,A,M35/17624,20.0,True,0.0,0.0,0.0,0.8
CRC083249,Take Groundwater,A,M35/4657,5.0,True,87.0,72.0,46.0,0.2
CRC084300,Take Groundwater,A,L35/1018,4.95,True,0.0,0.0,0.0,1.0
CRC084937,Take Groundwater,A,L35/1046,62.0,True,0.0,0.0,0.0,1.0
CRC085044,Take Groundwater,A,L35/0862,32.0,True,0.0,0.0,0.0,0.6808510638297872
CRC085044,Take Groundwater,A,L35/0863,15.0,True,0.0,0.0,0.0,0.3191489361702128
CRC085073,Take Groundwater,A,L35/1048,12.0,True,0.0,0.0,0.0,0.5
CRC085073,Take Groundwater,A,L35/1049,12.0,True,84.0,65.0,35.0,0.5
CRC085084,Take Groundwater,A,M35/17741,50.0,True,0.0,0.0,0.0,0.4166666666666667
CRC085084,Take Groundwater,A,M35/17744,70.0,True,0.0,0.0,0.0,0.5833333333333334
CRC091935,Take Groundwater,A,BW22/0066,10.0,True,44.0,9.0,0.0,0.25
CRC091935,Take Groundwater,A,BW22/0067,10.0,True,74.0,45.0,12.0,0.25
CRC091935,Take Groundwater,A,L35/1061,10.0,True,0.0,0.0,0.0,0.25
CRC091935,Take Groundwater,A,L35/1062,10.0,True,0.0,0.0,0.0,0.25
CRC093161.1,Take Surface Water,B,L35/1080,270.0,True,100.0,100.0,100.0,1.0
CRC101865,Take Surface Water,B,L35/1104,40.0,True,100.0,100.0,100.0,1.0
CRC101910.3,Take Groundwater,A,M35/12029,78.0,True,0.0,0.0,0.0,1.0
CRC110404,Take Surface Water,A,K35/0030,30.0,True,100.0,100.0,100.0,1.0
CRC110406,Take Surface Water,A,K35/0030,40.0,True,100.0,100.0,100.0,1.0
CRC110834.1,Take Groundwater,A,L35/1100,20.0,True,0.0,0.0,0.0,0.5
CRC110834.1,Take Groundwater,A,L35/1101,20.0,True,0.0,0.0,0.0,0.5
CRC121134,Take Groundwater,A,L35/0958,50.0,True,0.0,0.0,0.0,1.0
CRC130459,Take Groundwater,A,M35/18743,7.0,True,0.0,0.0,0.0,1.0
CRC130723,Take Groundwater,A,M35/18510,40.0,True,0.0,0.0,0.0,0.5714285714285714
CRC130723,Take Groundwater,A,M35/2689,30.0,True,100.0,99.0,99.0,0.42857142857142855
CRC131813,Take Groundwater,A,M35/1182,20.0,True,99.0,97.0,94.0,0.3333333333333333
CRC131813,Take Groundwater,A,M35/1674,20.0,True,100.0,100.0,100.0,0.3333333333333333
CRC131813,Take Groundwater,A,M35/3505,20.0,True,99.0,97.0,94.0,0.3333333333333333
CRC133965,Take Surface Water,A,L35/0906,2100.0,True,100.0,100.0,100.0,1.0
CRC136234,Take Surface Water,A,L35/1089,1000.0,True,100.0,100.0,100.0,1.0
CRC137029,Take Groundwater,A,M35/0204,25.0,True,73.0,45.0,11.0,0.12077294685990338
CRC137029,Take Groundwater,A,M35/8579,72.0,True,78.0,53.0,19.0,0.34782608695652173
CRC137029,Take Groundwater,A,M35/8580,65.0,True,78.0,54.0,20.0,0.3140096618357488
CRC137029,Take Groundwater,A,M35/9338,45.0,True,85.0,89.0,78.0,0.21739130434782608
CRC140034,Take Groundwater,A,M35/11085,86.0,True,0.0,0.0,0.0,0.945054945054945
CRC140034,Take Groundwater,A,M35/6664,5.0,True,63.0,28.0,2.0,0.054945054945054944
